2026-06-25 14:33:21,523 - INFO - ------------- Ingestion Started -------------
2026-06-25 14:33:21,523 - INFO - Starting begin_inventory.csv
2026-06-25 14:33:23,092 - INFO - begin_inventory: Chunk 1 inserted (100,000 rows)
2026-06-25 14:33:24,557 - INFO - begin_inventory: Chunk 2 inserted (100,000 rows)
2026-06-25 14:33:24,681 - INFO - begin_inventory: Chunk 3 inserted (6,529 rows)
2026-06-25 14:33:24,682 - INFO - begin_inventory completed in 3.16s
2026-06-25 14:33:24,683 - INFO - Starting end_inventory.csv
2026-06-25 14:33:26,237 - INFO - end_inventory: Chunk 1 inserted (100,000 rows)
2026-06-25 14:33:27,787 - INFO - end_inventory: Chunk 2 inserted (100,000 rows)
2026-06-25 14:33:28,219 - INFO - end_inventory: Chunk 3 inserted (24,489 rows)
2026-06-25 14:33:28,219 - INFO - end_inventory completed in 3.54s
2026-06-25 14:33:28,221 - INFO - Starting purchases.csv
2026-06-25 14:33:30,569 - INFO - purchases: Chunk 1 inserted (100,000 rows)
2026-06-25 14:33:32,829 - INFO - purchases: Chunk 2 inserted (100,000 rows)
2026-06-25 14:33:35,158 - INFO - purchases: Chunk 3 inserted (100,000 rows)
2026-06-25 14:33:37,514 - INFO - purchases: Chunk 4 inserted (100,000 rows)
2026-06-25 14:33:39,930 - INFO - purchases: Chunk 5 inserted (100,000 rows)
2026-06-25 14:33:42,368 - INFO - purchases: Chunk 6 inserted (100,000 rows)
2026-06-25 14:33:44,887 - INFO - purchases: Chunk 7 inserted (100,000 rows)
2026-06-25 14:33:47,386 - INFO - purchases: Chunk 8 inserted (100,000 rows)
2026-06-25 14:33:49,855 - INFO - purchases: Chunk 9 inserted (100,000 rows)
2026-06-25 14:33:52,296 - INFO - purchases: Chunk 10 inserted (100,000 rows)
2026-06-25 14:33:54,536 - INFO - purchases: Chunk 11 inserted (100,000 rows)
2026-06-25 14:33:57,035 - INFO - purchases: Chunk 12 inserted (100,000 rows)
2026-06-25 14:33:59,303 - INFO - purchases: Chunk 13 inserted (100,000 rows)
2026-06-25 14:34:02,079 - INFO - purchases: Chunk 14 inserted (100,000 rows)
2026-06-25 14:34:12,338 - INFO - purchases: Chunk 15 inserted (100,000 rows)
2026-06-25 14:34:21,006 - INFO - purchases: Chunk 16 inserted (100,000 rows)
2026-06-25 14:34:24,217 - INFO - purchases: Chunk 17 inserted (100,000 rows)
2026-06-25 14:34:28,282 - INFO - purchases: Chunk 18 inserted (100,000 rows)
2026-06-25 14:34:30,800 - INFO - purchases: Chunk 19 inserted (100,000 rows)
2026-06-25 14:34:32,564 - INFO - purchases: Chunk 20 inserted (100,000 rows)
2026-06-25 14:34:34,628 - INFO - purchases: Chunk 21 inserted (100,000 rows)
2026-06-25 14:34:36,651 - INFO - purchases: Chunk 22 inserted (100,000 rows)
2026-06-25 14:34:38,641 - INFO - purchases: Chunk 23 inserted (100,000 rows)
2026-06-25 14:34:40,102 - INFO - purchases: Chunk 24 inserted (72,474 rows)
2026-06-25 14:34:40,104 - INFO - purchases completed in 71.88s
2026-06-25 14:34:40,110 - INFO - Starting purchase_prices.csv
2026-06-25 14:34:40,332 - INFO - purchase_prices: Chunk 1 inserted (12,261 rows)
2026-06-25 14:34:40,333 - INFO - purchase_prices completed in 0.22s
2026-06-25 14:34:40,334 - INFO - Starting sales.csv
2026-06-25 14:34:42,117 - INFO - sales: Chunk 1 inserted (100,000 rows)
2026-06-25 14:34:43,768 - INFO - sales: Chunk 2 inserted (100,000 rows)
2026-06-25 14:34:45,351 - INFO - sales: Chunk 3 inserted (100,000 rows)
2026-06-25 14:34:47,207 - INFO - sales: Chunk 4 inserted (100,000 rows)
2026-06-25 14:34:48,922 - INFO - sales: Chunk 5 inserted (100,000 rows)
2026-06-25 14:34:50,800 - INFO - sales: Chunk 6 inserted (100,000 rows)
2026-06-25 14:34:52,601 - INFO - sales: Chunk 7 inserted (100,000 rows)
2026-06-25 14:34:54,406 - INFO - sales: Chunk 8 inserted (100,000 rows)
2026-06-25 14:34:56,236 - INFO - sales: Chunk 9 inserted (100,000 rows)
2026-06-25 14:34:58,032 - INFO - sales: Chunk 10 inserted (100,000 rows)
2026-06-25 14:34:59,574 - INFO - sales: Chunk 11 inserted (100,000 rows)
2026-06-25 14:35:01,212 - INFO - sales: Chunk 12 inserted (100,000 rows)
2026-06-25 14:35:03,094 - INFO - sales: Chunk 13 inserted (100,000 rows)
2026-06-25 14:35:05,099 - INFO - sales: Chunk 14 inserted (100,000 rows)
2026-06-25 14:35:06,867 - INFO - sales: Chunk 15 inserted (100,000 rows)
2026-06-25 14:35:08,507 - INFO - sales: Chunk 16 inserted (100,000 rows)
2026-06-25 14:35:10,012 - INFO - sales: Chunk 17 inserted (100,000 rows)
2026-06-25 14:35:11,663 - INFO - sales: Chunk 18 inserted (100,000 rows)
2026-06-25 14:35:13,337 - INFO - sales: Chunk 19 inserted (100,000 rows)
